
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
3,1900-01-01,,선봉,,,42.3167,130.400,3,,,,
5,1900-01-01,,삼지연,,,41.8167,128.3167,1386,,,,
8,1900-01-01,,청진,,,41.7833,129.8167,43,,,,
12,2007-11-30,,안면도(감),,,36.5333,126.3167,60,,,,
13,2012-01-01,,고산센터,,,33.300,126.160,71,,,,
14,1900-01-01,,중강,,,41.7833,126.8833,332,,,,
16,1900-01-01,,혜산,,,41.400,128.1667,714,,,,
20,1900-01-01,,강계,,,40.9667,126.600,306,,,,
22,1900-01-01,,풍산,,,40.8167,128.150,1206,,,,
25,1900-01-01,,김책,,,40.6667,129.200,23,,,,
28,1900-01-01,,수풍,,,40.450,124.9333,83,,,,
31,1900-01-01,,장진,,,40.3667,127.250,1081,,,,
35,1900-01-01,,신의주,,,40.100,124.3833,7,,,,
37,1900-01-01,,구성,,,39.9833,125.250,99,,,,
39,1900-01-01,,희천,,,40.1667,126.250,155,,,,
41,1900-01-01,,함흥,,,39.9333,127.550,38,,,,
46,1900-01-01,,신포,,,40.0333,128.1833,19,,,,
50,1900-01-01,,안주,,,39.6167,125.650,27,,,,
52,1900-01-01,,양덕,,,39.1667,126.8333,279,,,,
55,1900-01-01,,원산,,,39.1833,127.4333,36,,,,
58,1900-01-01,,평양,,,39.0333,125.7833,38,,,,
60,1900-01-01,,남포,,,38.7167,125.3667,47,,,,
61,1900-01-01,,장전,,,38.7333,128.1833,35,,,,
65,1900-01-01,,사리원,,,38.5167,125.7667,52,,,,
67,1900-01-01,,신계,,,38.500,126.5333,100,,,,
68,1900-01-01,,용연,,,38.200,124.8833,5,,,,
69,1900-01-01,,해주,,,38.0333,125.700,81,,,,
70,1900-01-01,,개성,,,37.9667,126.5667,70,,,,
75,1900-01-01,,평강,,,38.400,127.300,371,,,,
90,2006-12-08,,속초,강원특별자치도 고성군토성면 봉포5길9 속초자동기상관측소 ,강릉(구 105),38.2509,128.5647,18.06,,,,
90,1968-01-01,,속초,강원특별자치도 고성군토성면 봉포5길9 속초자동기상관측소 ,속초기상대(90),38.2509,128.5647,17.53,18.730,1.700,10.000,1.400
92,2002-02-25,,양양공항,,,38.0667,128.6667,75.4,72.000,1.500,10.000,0.500
93,2016-09-30,,북춘천,강원특별자치도 춘천시신북읍 산천리264(장본1길 12) 춘천기상대,춘천기상대(101),37.9475,127.7547,95.61,,,,
93,2016-10-01,,북춘천,강원특별자치도 춘천시신북읍 산천리264(장본1길 12) 춘천기상대,춘천기상대(101),37.9474,127.7544,95.78,96.780,1.500,10.000,1.400
94,2004-05-18,,광덕산,,춘천기상대(101),38.1172,127.4333,1066,,,,
95,1988-01-01,,철원,강원특별자치도 철원군갈말읍 명성로179번길 26 철원자동기상관측소,춘천기상대(101),38.1479,127.3042,155.48,156.980,1.800,13.000,1.500
96,2020-10-23,,독도,경상북도 울릉군울릉읍 독도이사부길63  ,울릉도기상대(115),37.2395,131.8698,99.08,,,,
96,2009-10-27,2020-10-23,독도,경상북도 울릉군울릉읍 독도이사부길63  ,울릉도기상대(115),37.2395,131.8698,96.15,,,,
98,1998-02-01,,동두천,경기도 동두천시방죽로 16-47동두천서비스센터  ,수도권기상청(119),37.9019,127.0607,115.62,116.740,1.700,10.000,1.000
99,2013-10-22,,파주,경기도 파주시문산읍 마정로46-29(파주기상대)  ,수도권기상청(119),37.8859,126.7665,30.59,31.990,1.700,10.000,1.000
99,2001-12-07,2013-10-22,파주,경기도 파주시문산읍 마정로46-29(파주기상대)  ,파주기상대(99),37.8859,126.7665,29.42,31.400,1.700,10.000,0.500
100,2006-11-07,,대관령,강원특별자치도 평창군대관령면 경강로5372 대관령자동기상관측소 ,대관령기상대(100),37.6771,128.7183,772.43,773.430,1.700,10.000,1.400
100,2005-04-28,,대관령,강원특별자치도 평창군대관령면 경강로5372 대관령자동기상관측소 ,강릉(구 105),37.6771,128.7183,772.57,,,,
100,1971-07-15,2006-11-07,대관령,강원특별자치도 평창군대관령면 경강로5372 대관령자동기상관측소 ,,37.6869,128.7587,842.52,843.960,1.500,10.000,1.600
101,1966-01-01,,춘천,강원특별자치도 춘천시충열로 91번길12 춘천자동기상관측소 ,춘천기상대(101),37.9026,127.7357,75.82,77.050,1.500,10.000,1.400
101,2006-12-08,2016-09-29,춘천,강원특별자치도 춘천시충열로 91번길12 춘천자동기상관측소 ,춘천기상대(101),37.9026,127.7357,76.47,,,,
102,2018-05-01,,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.974,124.7124,36,,,,
